127.0.0.1 - - [25/Apr/2019:09:52:51 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:53:11 +0800] "POST /jobReview/login.action HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:53:11 +0800] "GET /jobReview/teacherIndex.action HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:53:11 +0800] "POST /jobReview/getUserInfo.action HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:53:12 +0800] "GET /jobReview/teacherToClassManage.action HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:53:12 +0800] "GET /jobReview/js/classManager.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:53:12 +0800] "GET /jobReview/js/classManagerPagin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:53:12 +0800] "POST /jobReview/getUserInfo.action HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:53:12 +0800] "POST /jobReview/teacherGetClassTotal.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:53:12 +0800] "POST /jobReview/teacherGetClassList.action HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:53:13 +0800] "GET /jobReview/teacherToClassInfo.action?classId=1 HTTP/1.1" 200 24683
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:53:13 +0800] "GET /jobReview/js/classInfoTaskPaging.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:53:13 +0800] "GET /jobReview/js/classInfoGroupPaging.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:53:13 +0800] "GET /jobReview/js/classInfoBasic.js HTTP/1.1" 304 -
