127.0.0.1 - - [18/Apr/2019:09:15:24 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:27 +0800] "GET /jobReview/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:27 +0800] "GET /jobReview/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:27 +0800] "GET /jobReview/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:27 +0800] "GET /jobReview/bootstrap/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:27 +0800] "GET /jobReview/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:27 +0800] "GET /jobReview/img/loginbg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:27 +0800] "GET /jobReview/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:41 +0800] "POST /jobReview/login.action HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:41 +0800] "GET /jobReview/studentIndex.action HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:41 +0800] "GET /jobReview/js/studentIndex.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:41 +0800] "GET /jobReview/js/studentIndexPaging.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:41 +0800] "POST /jobReview/getUserInfo.action HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:41 +0800] "POST /jobReview/studentGetTaskTotal.action HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:41 +0800] "POST /jobReview/studentGetTaskList.action HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [18/Apr/2019:09:15:41 +0800] "POST /jobReview/studentGetStudentInfo.action HTTP/1.1" 200 246
